frame_id,time,u,v,X,Y,Z,A,B,C,gt_x,gt_y,gt_z
155,1772787953.054324,385.6819,477.0907,429.6194,77.9932,556.0268,-0.0620,89.7495,1.4354,1047.4409,163.3785,575.4777
156,1772787953.190396,382.5364,478.4407,429.6548,77.3912,556.2525,10.2239,89.7614,11.6264,1044.2630,162.5939,574.9203
157,1772787953.322319,379.1092,480.2079,429.6977,76.7920,556.5161,20.7747,89.7647,22.1027,1048.4417,164.2353,574.4164
158,1772787953.459261,376.1846,481.0040,429.7486,76.1783,556.8452,31.2290,89.7596,32.5990,1046.0570,165.6935,574.2917
159,1772787953.590778,372.6254,482.3971,429.8049,75.5964,557.2086,40.5332,89.7476,41.7178,1046.2525,168.3690,573.9904
160,1772787953.726552,369.0461,483.9323,429.8705,74.9627,557.6568,49.3153,89.7293,50.1866,1047.7193,172.0312,573.7959
161,1772787953.858296,366.2206,485.2701,429.9384,74.3763,558.1103,55.9631,89.7067,56.6600,1046.9674,174.3733,573.5376
162,1772787953.994517,363.5386,487.1147,430.0158,73.7522,558.6361,61.7985,89.6813,62.1941,1045.8353,176.5077,573.0434
163,1772787954.130287,359.9553,489.0955,430.0974,73.1418,559.2156,66.4034,89.6528,66.8455,1048.1038,179.7288,572.8668
164,1772787954.262359,356.7526,491.3718,430.1819,72.5367,559.8199,70.0347,89.6256,70.4394,1042.4120,178.5299,572.1406
165,1772787954.398504,353.2667,493.1264,430.2707,71.9294,560.4852,73.1689,89.5966,73.3851,1045.0349,183.4845,572.2202
166,1772787954.530800,349.8965,495.3167,430.3627,71.3361,561.1686,75.6094,89.5690,75.7922,1046.7251,184.8213,571.8032
167,1772787954.666410,347.3490,497.2092,430.4545,70.7288,561.9101,77.7720,89.5402,77.8225,1044.5577,186.5760,571.7925
168,1772787954.798295,344.3289,498.9588,430.5530,70.1246,562.6886,79.4420,89.5135,79.4587,1046.2095,188.2930,571.7940
169,1772787954.934428,341.0290,500.8835,430.6587,69.4804,563.5566,80.9763,89.4866,80.8905,1043.7360,189.6666,571.8678
170,1772787955.070470,338.5211,503.0007,430.7518,68.8840,564.4016,82.1747,89.4607,82.0839,1045.6930,190.6670,571.6799
171,1772787955.202408,335.1712,505.1402,430.8537,68.2942,565.2720,83.1524,89.4374,83.0300,1047.6774,192.1741,571.4718
172,1772787955.338850,332.1986,506.9408,430.9552,67.6683,566.2383,84.0371,89.4135,83.8802,1046.4564,193.3442,571.7563
