frame_id,time,u,v,X,Y,Z,A,B,C,gt_x,gt_y,gt_z
122,1772788241.283519,477.7754,411.5861,431.7146,121.8997,610.5861,-56.0427,88.7925,-54.8098,1054.5832,164.2341,663.9808
123,1772788241.415627,477.1778,407.1061,431.8093,120.9612,609.3992,-56.0432,88.7618,-54.7873,1052.4594,163.3142,665.0996
124,1772788241.551954,477.1543,401.6606,431.9054,119.9880,608.1009,-56.0448,88.7315,-54.7654,1052.4197,161.8024,666.3409
125,1772788241.687546,476.8779,396.8204,431.9958,119.0392,606.7806,-56.0461,88.7029,-54.7452,1057.0016,161.2943,668.1978
126,1772788241.819620,475.8770,392.2838,432.0825,118.0762,605.4180,-56.0465,88.6767,-54.7259,1055.2227,160.2100,668.7796
127,1772788241.955619,476.7631,386.8741,432.1639,117.1139,604.0145,-56.0450,88.6524,-54.7068,1056.5195,158.9369,670.5141
128,1772788242.087607,477.0022,381.9341,432.2442,116.1173,602.5297,-56.0412,88.6298,-54.6868,1050.7641,156.9413,670.5479
129,1772788242.223467,476.1689,377.2951,432.3140,115.1228,600.9770,-56.0343,88.6086,-54.6664,1056.7739,156.8106,672.2547
130,1772788242.355666,476.7364,371.7332,432.3781,114.0831,599.4151,-56.0250,88.5898,-54.6461,1057.4319,155.1284,673.2539
131,1772788242.491548,476.7397,366.3773,432.4334,113.0375,597.7809,-56.0125,88.5727,-54.6247,1056.5651,154.0937,674.4915
132,1772788242.627619,477.6660,361.0775,432.4772,111.9896,596.1293,-55.9975,88.5582,-54.6042,1056.4641,152.3198,675.1889
133,1772788242.759440,477.4368,355.8670,432.5075,110.9159,594.3950,-55.9811,88.5463,-54.5854,1053.2564,151.2633,675.8760
134,1772788242.895563,478.1422,350.1907,432.5257,109.7839,592.5754,-55.9626,88.5368,-54.5675,1057.4557,150.2820,677.8405
135,1772788243.027846,477.8598,344.6710,432.5278,108.6574,590.8241,-55.9434,88.5307,-54.5518,1055.5242,148.8567,677.9859
136,1772788243.163588,478.0792,339.3168,432.5138,107.4550,588.9226,-55.9213,88.5275,-54.5380,1058.0640,147.9369,679.3038
137,1772788243.295509,478.9966,333.0540,432.4827,106.2746,586.9839,-55.8981,88.5280,-54.5264,1058.1897,146.1973,680.1051
138,1772788243.431396,480.3453,327.0329,432.4322,105.1266,585.0937,-55.8727,88.5323,-54.5172,1054.4894,144.4577,680.8405
139,1772788243.567465,480.9098,321.9429,432.3675,103.9719,583.2429,-55.8466,88.5405,-54.5104,1055.4703,143.4258,681.9751
140,1772788243.699548,481.6131,316.8463,432.2902,102.8730,581.4079,-55.8204,88.5516,-54.5061,1056.2290,141.9970,682.1745
141,1772788243.835515,482.8102,311.7334,432.1945,101.7780,579.6411,-55.7937,88.5659,-54.5036,1055.9167,140.6761,683.1327
142,1772788243.967619,483.9656,306.3203,432.0899,100.7467,577.9353,-55.7651,88.5823,-54.5018,1058.6009,139.2481,683.8575
143,1772788244.103397,485.0063,301.2555,431.9810,99.7814,576.3366,-55.7322,88.6027,-54.4951,1058.7929,138.1484,684.9775
144,1772788244.235452,486.8861,295.9289,431.8640,98.8404,574.7773,-55.6883,88.6240,-54.4783,1054.7932,136.3955,685.4641
145,1772788244.371457,488.8454,291.4244,431.7312,97.8943,573.2350,-55.6240,88.6494,-54.4449,1060.6026,134.9998,686.7443
146,1772788244.507364,490.7003,286.8862,431.6004,96.9941,571.7372,-55.5400,88.6771,-54.3928,1054.7012,133.2049,686.5719
147,1772788244.639333,493.0522,282.7287,431.4665,96.1103,570.3517,-55.4322,88.7065,-54.3171,1056.1554,131.4428,686.9760
148,1772788244.775405,494.5667,278.4723,431.3299,95.2613,569.0548,-55.2964,88.7384,-54.2140,1059.1420,130.3561,688.4298
149,1772788244.907508,496.8893,274.1762,431.1898,94.4091,567.7498,-55.1296,88.7720,-54.0794,1055.2552,128.3448,688.0231
150,1772788245.043519,498.9673,270.3709,431.0652,93.6317,566.5319,-54.9211,88.8087,-53.9077,1058.8012,127.1228,689.2628
151,1772788245.175385,501.2880,266.8339,430.9197,92.7977,565.4246,-54.6851,88.8454,-53.7048,1056.2458,125.1879,688.9643
152,1772788245.311467,503.4962,263.6468,430.7908,92.0224,564.3773,-54.3907,88.8856,-53.4465,1057.5539,123.7770,689.7831
153,1772788245.447495,507.2579,259.9562,430.6639,91.2584,563.3510,-54.0642,88.9253,-53.1451,1059.4420,121.6768,690.8700
154,1772788245.579353,507.7563,257.1328,430.5404,90.5062,562.4147,-53.6730,88.9674,-52.7966,1057.4180,120.6787,690.4906
