frame_id,time,u,v,X,Y,Z,A,B,C,gt_x,gt_y,gt_z
106,1772786590.323141,453.6788,503.3701,431.8218,120.8338,609.2381,-56.0434,88.7573,-54.7839,1050.9953,174.9577,619.3435
107,1772786590.458677,452.5914,500.6733,431.9143,119.8845,607.9592,-56.0449,88.7278,-54.7630,1049.4185,173.8176,619.1904
108,1772786590.594732,451.0591,498.0302,432.0067,118.8975,606.5889,-56.0463,88.6998,-54.7430,1049.4637,173.5339,619.4772
109,1772786590.726909,449.5916,495.1679,432.0925,117.9462,605.2305,-56.0464,88.6739,-54.7239,1046.9854,172.4437,619.1499
110,1772786590.862884,447.9980,492.7918,432.1758,116.9761,603.8113,-56.0446,88.6494,-54.7041,1051.5552,172.6446,619.4101
111,1772786590.994931,446.6983,490.0387,432.2524,116.0091,602.3668,-56.0405,88.6275,-54.6841,1049.9666,171.7067,619.0538
112,1772786591.130986,445.3538,487.1476,432.3239,114.9719,600.7670,-56.0334,88.6062,-54.6642,1050.3272,171.4119,619.2301
113,1772786591.263023,444.2991,483.7302,432.3851,113.9616,599.2262,-56.0236,88.5877,-54.6436,1050.2238,170.9388,619.7182
114,1772786591.399034,442.7040,480.4822,432.4389,112.9351,597.5997,-56.0110,88.5710,-54.6224,1045.5257,169.8631,619.1978
115,1772786591.535562,441.4073,477.3828,432.4815,111.8403,595.8828,-55.9957,88.5566,-54.6018,1050.5708,170.0121,619.5857
116,1772786591.667004,440.2442,473.7688,432.5111,110.7631,594.1466,-55.9789,88.5449,-54.5830,1050.8191,169.1143,619.1278
117,1772786591.802918,438.8888,470.4875,432.5265,109.6343,592.3872,-55.9606,88.5360,-54.5658,1050.2119,168.7927,619.3432
118,1772786591.934888,437.8812,466.4825,432.5269,108.4845,590.5328,-55.9402,88.5299,-54.5500,1053.5610,168.2280,619.2494
119,1772786592.070532,436.4579,462.3265,432.5144,107.5235,588.8459,-55.9198,88.5274,-54.5366,1048.6234,167.5497,619.3027
120,1772786592.201843,435.5097,458.1770,432.4775,106.1706,586.8155,-55.8952,88.5283,-54.5252,1048.0569,166.7796,619.3571
121,1772786592.337204,434.3007,453.7876,432.4252,104.9618,584.8557,-55.8695,88.5331,-54.5163,1051.3271,166.7957,620.0472
122,1772786592.472456,433.1859,450.1459,432.3559,103.8216,582.9427,-55.8430,88.5418,-54.5097,1051.8190,166.1837,619.3774
123,1772786592.603620,432.7245,446.5874,432.2766,102.7127,581.1971,-55.8170,88.5533,-54.5056,1050.3272,165.5061,619.5335
124,1772786592.739203,432.2631,442.9600,432.1801,101.6340,579.4035,-55.7900,88.5681,-54.5034,1050.6794,164.8219,619.1277
125,1772786592.870277,431.7729,438.8472,432.0824,100.6669,577.7782,-55.7625,88.5849,-54.5014,1049.5703,164.3252,619.5720
126,1772786593.005548,431.2596,434.7355,431.9667,99.6472,576.1145,-55.7252,88.6062,-54.4933,1049.1093,163.6127,619.2646
127,1772786593.137201,430.6487,431.1216,431.8435,98.7107,574.5413,-55.6799,88.6276,-54.4748,1048.3437,163.2592,619.4938
128,1772786593.272318,430.5938,427.9531,431.7159,97.7785,573.0464,-55.6146,88.6528,-54.4390,1049.1415,162.8828,619.7887
129,1772786593.407887,430.7373,424.6838,431.5814,96.8683,571.5786,-55.5289,88.6806,-54.3818,1050.7922,162.2111,619.5587
130,1772786593.539352,430.9576,421.5027,431.4499,95.9806,570.1721,-55.4172,88.7106,-54.3052,1051.7227,161.6757,619.7881
131,1772786593.674697,430.8181,418.2152,431.3077,95.1269,568.8488,-55.2746,88.7437,-54.1946,1048.0977,160.7703,619.3431
132,1772786593.805921,430.9182,415.2603,431.1785,94.3411,567.6378,-55.1065,88.7763,-54.0591,1050.4914,160.6386,619.8697
133,1772786593.941434,430.8326,412.4352,431.0340,93.4772,566.3929,-54.8945,88.8131,-53.8840,1049.3942,159.9476,619.4455
134,1772786594.072810,431.5246,409.7523,430.9064,92.7061,565.2880,-54.6514,88.8502,-53.6714,1049.8478,159.3171,619.7259
135,1772786594.208032,431.8212,407.4736,430.7711,91.9186,564.2245,-54.3504,88.8899,-53.4107,1050.1943,158.7025,619.4266
136,1772786594.343454,432.0345,405.2318,430.6427,91.1507,563.2149,-54.0054,88.9320,-53.1022,1048.5065,158.1746,619.3632
137,1772786594.474929,432.2011,402.5943,430.5187,90.4149,562.2775,-53.6139,88.9735,-52.7423,1046.8613,157.2958,619.1118
138,1772786594.610371,432.3177,400.2762,430.4039,89.6685,561.4310,-53.1559,89.0170,-52.3119,1053.1828,157.3934,620.0243
139,1772786594.743729,432.9048,398.4875,430.2944,88.9694,560.6184,-52.6294,89.0603,-51.8079,1052.7119,156.5885,619.6568
140,1772786594.876892,433.3765,396.3790,430.1922,88.2816,559.8862,-52.0117,89.1062,-51.2364,1051.2303,156.0424,619.7326
141,1772786595.008469,434.1508,394.6269,430.0997,87.5923,559.2479,-51.3241,89.1501,-50.5774,1049.7861,155.1464,619.7363
142,1772786595.143973,434.1059,393.2302,430.0018,86.8880,558.6109,-50.5150,89.1962,-49.7939,1048.7461,154.4886,619.2943
143,1772786595.279275,435.0108,391.7711,429.9198,86.2086,558.0540,-49.5912,89.2417,-48.8966,1048.4580,153.6682,619.3810
144,1772786595.410832,435.2571,390.1023,429.8494,85.5734,557.5780,-48.5709,89.2856,-47.8966,1051.1788,153.2941,619.6985
145,1772786595.546059,436.0653,389.1808,429.7806,84.9103,557.1383,-47.3096,89.3323,-46.6614,1051.8401,152.9815,619.7251
146,1772786595.677651,436.3708,388.1292,429.7272,84.3147,556.7860,-45.9812,89.3754,-45.2908,1051.9010,151.3231,619.6073
147,1772786595.813156,436.9270,387.3650,429.6777,83.6794,556.4669,-44.3235,89.4204,-43.6306,1053.1111,150.6287,619.7094
148,1772786595.944732,437.4092,386.6492,429.6382,83.0761,556.2004,-42.3922,89.4630,-41.7498,1045.6614,149.3286,618.7459
149,1772786596.080408,437.1326,386.5361,429.6063,82.4492,555.9883,-40.0797,89.5059,-39.4247,1051.1145,149.3903,619.0669
150,1772786596.215527,438.0041,384.8010,429.5812,81.8321,555.8293,-37.3469,89.5478,-36.5725,1050.8851,146.3838,619.5820
151,1772786596.346852,438.6171,384.1538,429.5654,81.2533,555.7265,-34.0195,89.5872,-33.3757,1051.2908,147.7450,619.6109
152,1772786596.482497,438.9392,383.6650,429.5574,80.6163,555.6664,-30.0922,89.6257,-29.3113,1051.5795,145.3634,619.6701
153,1772786596.614027,439.4527,383.0408,429.5580,80.0273,555.6632,-25.2736,89.6610,-24.3632,1048.7261,143.0746,619.4730
154,1772786596.749390,439.7743,382.8021,429.5667,79.4245,555.7098,-19.3323,89.6935,-18.1623,1049.3792,139.5400,619.5308
